Bin Start,Bin End,Frequency
-34988.623696888884,-32700.68133751583,1
-32700.68133751583,-30412.73897814278,0
-30412.73897814278,-28124.796618769728,0
-28124.796618769728,-25836.854259396678,0
-25836.854259396678,-23548.911900023624,2
-23548.911900023624,-21260.96954065057,0
-21260.96954065057,-18973.027181277517,3
-18973.027181277517,-16685.084821904467,3
-16685.084821904467,-14397.142462531414,14
-14397.142462531414,-12109.200103158364,40
-12109.200103158364,-9821.25774378531,98
-9821.25774378531,-7533.315384412257,168
-7533.315384412257,-5245.373025039207,415
-5245.373025039207,-2957.430665666154,1162
-2957.430665666154,-669.488306293104,7160
-669.488306293104,1618.4540530799495,47010
1618.4540530799495,3906.396412453003,1773
3906.396412453003,6194.3387718260565,839
6194.3387718260565,8482.281131199103,522
8482.281131199103,10770.223490572156,217
10770.223490572156,13058.16584994521,136
13058.16584994521,15346.108209318263,82
15346.108209318263,17634.050568691317,60
17634.050568691317,19921.99292806437,22
19921.99292806437,22209.935287437416,23
22209.935287437416,24497.87764681047,14
24497.87764681047,26785.820006183523,10
26785.820006183523,29073.762365556577,8
29073.762365556577,31361.70472492963,2
31361.70472492963,33649.64708430268,2
